File,RelativePath,Folder,DateTime,ImageQuality,DeleteFlag,Behaviour,Sex,Sp1,Count1,Sp2,Count2,Sp3,Count3,Juvenile,Favourite,Obs,Behaviour2,
11250483.AVI,Rev_5\Pbou_002_5R,vid_w_anim, 2021-11-25 09:49:20,Ok,false,searching for food,,cervus elaphus,0,,0,,0,false,false,,,
11250484.AVI,Rev_5\Pbou_002_5R,vid_w_anim, 2021-11-25 09:49:36,Ok,false,searching for food,,cervus elaphus,0,,0,,0,false,false,,,
11250485.AVI,Rev_5\Pbou_002_5R,vid_w_anim, 2021-11-25 09:49:54,Ok,false,searching for food,,cervus elaphus,0,,0,,0,false,false,,,
11250486.AVI,Rev_5\Pbou_002_5R,vid_w_anim, 2021-11-25 09:50:10,Ok,false,,,cervus elaphus,0,,0,,0,false,false,,,
11250487.AVI,Rev_5\Pbou_002_5R,vid_w_anim, 2021-11-25 09:50:26,Ok,false,probably eating,,cervus elaphus,0,,0,,0,false,false,,,
11250488.AVI,Rev_5\Pbou_002_5R,vid_w_anim, 2021-11-25 09:50:42,Ok,false,searching for food,,cervus elaphus,0,,0,,0,false,false,,,
11250489.AVI,Rev_5\Pbou_002_5R,vid_w_anim, 2021-11-25 09:50:58,Ok,false,searching for food,,cervus elaphus,0,,0,,0,false,false,,,
11250490.AVI,Rev_5\Pbou_002_5R,vid_w_anim, 2021-11-25 09:51:14,Ok,false,searching for food,,cervus elaphus,3,,0,,0,false,false,,,
11250491.AVI,Rev_5\Pbou_002_5R,vid_w_anim, 2021-11-25 09:51:30,Ok,false,searching for food,,cervus elaphus,3,,0,,0,false,false,,,
11250492.AVI,Rev_5\Pbou_002_5R,vid_w_anim, 2021-11-25 09:51:48,Ok,false,searching for food,,cervus elaphus,0,,0,,0,false,false,,,
11250493.AVI,Rev_5\Pbou_002_5R,vid_w_anim, 2021-11-25 09:52:02,Ok,false,searching for food,,cervus elaphus,0,,0,,0,false,false,,,
11250494.AVI,Rev_5\Pbou_002_5R,vid_w_anim, 2021-11-25 09:52:18,Ok,false,searching for food,,cervus elaphus,0,,0,,0,false,false,,,
11250496.AVI,Rev_5\Pbou_002_5R,vid_w_anim, 2021-11-25 09:53:56,Ok,false,searching for food,,cervus elaphus,0,,0,,0,false,false,,,
11250497.AVI,Rev_5\Pbou_002_5R,vid_w_anim, 2021-11-25 09:55:38,Ok,false,searching for food,,cervus elaphus,0,,0,,0,false,false,,,
