,Plant_ID,Long,Lat
1,aspa001,-6.473980005831,36.989599959925
2,aspa002,-6.473980005831,36.989610018209
3,aspa003,-6.474300026894,36.989559978247
4,aspa004,-6.484080031514,36.981249991804
5,aspa005,-6.48406997323,36.981200035662
6,aspa006,-6.483950028196,36.981140021235
7,aspa007,-6.483709970489,36.980720004067
8,aspa008,-6.444119978696,37.00121995993
9,aspa011,-6.474300027,36.98955998
10,aspa012,-6.484080032,36.98124999
11,aspa013,-6.484069973,36.98120004
12,aspa014,-6.483950028,36.98114002
13,aspa015,-6.48370997,36.98072
14,aspa016,-6.444119979,37.00121996
15,aspa017,-6.444720039,37.00109004
16,aspa018,-6.444700006,36.99467998
17,aspa019,-6.484136023,36.98137103
18,aspa020,-6.484081959,36.98135401
19,aspa021,-6.484023035,36.98134001
20,aspa022,-6.484104004,36.98123197
21,aspa023,-6.484035021,36.98118302
22,aspa024,-6.446027029,36.96459699
23,aspa025,-6.446081009,36.96463899
24,aspa026,-6.446155021,36.96455802
25,aspa027,-6.446247976,36.96449499
26,aspa028,-6.44628603,36.96450496
27,aune001,-6.479339981452,37.022460037842
28,aune002,-6.479490017518,37.024249993265
29,aune003,-6.479390021414,37.024410003796
30,aune004,-6.450540013611,36.990630012006
31,aune005,-6.478470023721,37.026070039719
32,aune006,-6.479590013623,37.023450024426
33,aune007,-6.479752035812,37.023433009163
34,aune008,-6.479772991,37.02345296
35,aune009,-6.479896037,37.02350803
36,aune010,-6.479979018,37.02355103
37,aune011,-6.479787994,37.02373601
38,aune012,-6.479814984,37.02365404
39,aune013,-6.479508961,37.02409401
40,aune014,-6.005762033,37.41174303
41,aune015,-6.441492001,37.019995
42,aune016,-6.441177009,37.01973097
43,aune017,-6.441177009,37.01973097
44,aune018,-6.479859995,37.02383199
45,aune019,-6.479714988,37.02375202
46,calb01,-6.445667027,36.96992202
47,calb02,-6.445670966,36.97001598
48,calb03,-6.44589996,36.97007004
49,calb04,-6.446040021,36.96992998
50,calb05,-6.445564013,36.96968104
51,calb06,-6.445390005,36.96956998
52,calb07,-6.445320016,36.96933998
53,calb08,-6.445277017,36.96946504
54,calb09,-6.445599971,36.96902004
55,calb10,-6.445859978,36.96900998
56,calb11,-6.446089977,36.96927996
57,calb12,-6.445870036,36.96942003
58,calb13,-6.446310002,36.96949999
59,calb14,-6.446619965,36.96983996
60,calb15,-6.446633041,36.97005596
61,calb16,-6.446379991,36.96897
62,calb17,-6.44634001,36.96864001
63,calb18,-6.447039982,36.96831998
64,calb19,-6.447030008,36.96857999
65,calb20,-6.44683999,36.96881996
66,calb21,-6.446960019,36.96969998
67,calb22,-6.446939986,36.96914996
68,calb23,-6.447120029,36.96913999
69,calb24,-6.447339971,36.96890001
70,joxy001,-6.403807969764,36.829226994887
71,joxy002,-6.40398398973,36.829417012632
72,joxy003,-6.403707973659,36.82967601344
73,joxy004,-6.403966974467,36.830325024203
74,joxy005,-6.404071999714,36.830895999447
75,joxy006,-6.404174007475,36.83062300086
76,joxy007,-6.404030006379,36.829724963754
77,joxy008,-6.405203975737,36.829258007929
78,joxy009,-6.402654033154,36.828789962456
79,joxy010,-6.402543978766,36.828933041543
80,joxy011,-6.402258994058,36.828424008563
81,joxy012,-6.4028889779,36.828628024086
82,joxy013,-6.403437992558,36.828917032108
83,joxy014,-6.403102,36.828467
84,joxy015,-6.403548,36.829027
85,joxy016,-6.40406,36.828234
86,joxy017,-6.403805,36.828312
87,joxy018,-6.403483,36.828203
88,joxy019,-6.40324,36.828303
89,joxy020,-6.403129,36.828515
90,joxy021,-6.402605,36.828975
91,joxy022,-6.402356,36.828383
92,joxy023,-6.403889,36.829375
93,joxy024,-6.403635,36.830234
94,joxy025,-6.404557,36.830019
95,joxy026,-6.404463,36.829852
