"";"interval";"Sp1";"File";"Plant";"Plant_ID";"Revision_ID";"DateTime";"Species";"Behaviour";"Count";"Coexistence";"Deployment_ID";"n_cam";"Videos";"Days";"Days.in.field";"n";"duration";"long";"lat";"videos_events";"ID"
"22";2020-07-12 09:05:00;"sus scrofa";"IMG_0384.MP4";"corema";"calb25";"Rev01";2020-07-12 09:05:54;"sus scrofa";"eating";4;FALSE;NA;1;511;1,79930555555556;26;4;10,25;-6,447329;36,968762;6,92820323027551;"calb25_Rev01_IMG_0384.MP4"
"23";2020-07-12 14:40:00;"sus scrofa";"IMG_0160.MP4";"corema";"calb11";"Rev01";2020-07-12 14:41:14;"sus scrofa";"eating";1;FALSE;NA;1;581;8,21365740740741;26;1;20;-6,446087;36,969275;3,46410161513775;"calb11_Rev01_IMG_0160.MP4"
"24";2020-07-12 22:25:00;"sus scrofa";"IMG_0119.MP4, IMG_0120.MP4, IMG_0121.MP4, IMG_0122.MP4, IMG_0123.MP4, IMG_0124.MP4, IMG_0125.MP4, IMG_0126.MP4, IMG_0127.MP4";"corema";"calb14";"Rev01";2020-07-12 22:24:12;"sus scrofa, sus scrofa, sus scrofa, sus scrofa, sus scrofa, sus scrofa, sus scrofa, sus scrofa, sus scrofa";"eating, eating, eating, eating, eating, eating, eating, eating, eating";4;FALSE;NA;1;612;9,08208333333333;26;21;177;-6,446615;36,96984;15,8745078663875;"calb14_Rev01_IMG_0119.MP4, IMG_0120.MP4, IMG_0121.MP4, IMG_0122.MP4, IMG_0123.MP4, IMG_0124.MP4, IMG_0125.MP4, IMG_0126.MP4, IMG_0127.MP4"
"25";2020-07-12 22:30:00;"sus scrofa";"IMG_0128.MP4, IMG_0129.MP4, IMG_0130.MP4, IMG_0131.MP4, IMG_0132.MP4, IMG_0133.MP4, IMG_0134.MP4, IMG_0135.MP4";"corema";"calb14";"Rev01";2020-07-12 22:27:32;"sus scrofa, sus scrofa, sus scrofa, sus scrofa, sus scrofa, sus scrofa, sus scrofa, sus scrofa";"eating, eating, eating, eating, eating, eating, eating, eating";4;FALSE;NA;1;612;9,08208333333333;26;14;121;-6,446615;36,96984;12,9614813968157;"calb14_Rev01_IMG_0128.MP4, IMG_0129.MP4, IMG_0130.MP4, IMG_0131.MP4, IMG_0132.MP4, IMG_0133.MP4, IMG_0134.MP4, IMG_0135.MP4"
"26";2020-07-12 22:40:00;"sus scrofa";"07120024.AVI, 07120025.AVI, 07120026.AVI, 07120027.AVI";"corema";"calb15";"Rev01";2020-07-12 22:40:22;"sus scrofa, sus scrofa, sus scrofa, sus scrofa";"eating, eating, eating, eating";1;FALSE;NA;1;243;25,1196296296296;26;4;41,666668;-6,446633;36,970056;6,92820323027551;"calb15_Rev01_07120024.AVI, 07120025.AVI, 07120026.AVI, 07120027.AVI"
"27";2020-07-12 22:50:00;"sus scrofa";"IMG_0137.MP4, IMG_0138.MP4, IMG_0139.MP4, IMG_0140.MP4";"corema";"calb14";"Rev01";2020-07-12 22:48:12;"sus scrofa, sus scrofa, sus scrofa, sus scrofa";"eating, eating, eating, eating";1;FALSE;NA;1;612;9,08208333333333;26;4;77;-6,446615;36,96984;6,92820323027551;"calb14_Rev01_IMG_0137.MP4, IMG_0138.MP4, IMG_0139.MP4, IMG_0140.MP4"
"28";2020-07-12 22:55:00;"sus scrofa";"07120052.MP4, 07120053.MP4, 07120054.MP4";"corema";"calb13";"Rev01";2020-07-12 22:56:52;"sus scrofa, sus scrofa, sus scrofa";"eating, eating, eating";1;FALSE;NA;1;356;25,2058333333333;26;3;30,48;-6,446306;36,9695;6;"calb13_Rev01_07120052.MP4, 07120053.MP4, 07120054.MP4"
"29";2020-07-12 23:00:00;"sus scrofa";"07120055.MP4, 07120056.MP4";"corema";"calb13";"Rev01";2020-07-12 22:57:52;"sus scrofa, sus scrofa";"eating, eating";1;FALSE;NA;1;356;25,2058333333333;26;2;20,105;-6,446306;36,9695;4,89897948556636;"calb13_Rev01_07120055.MP4, 07120056.MP4"
"30";2020-07-12 23:15:00;"sus scrofa";"07120043.AVI, 07120044.AVI";"corema";"calb02";"Rev01";2020-07-12 23:16:58;"sus scrofa, sus scrofa";"probably eating, probably eating";1;FALSE;NA;1;463;25,1984490740741;26;2;21,033334;-6,445671;36,970016;4,89897948556636;"calb02_Rev01_07120043.AVI, 07120044.AVI"
"31";2020-07-13 00:50:00;"sus scrofa";"07130045.AVI, 07130046.AVI";"corema";"calb02";"Rev01";2020-07-13 00:51:58;"sus scrofa, sus scrofa";"eating, eating";1;FALSE;NA;1;463;25,1984490740741;26;2;20,933334;-6,445671;36,970016;4,89897948556636;"calb02_Rev01_07130045.AVI, 07130046.AVI"
