"","X.1","X","Path","filemodifydate","duration","fileType","FrameRate","ImageWidth","ImageHeight","Compression"
"40",40,40,"Rev1_20211109/Aune001_19/IMG_0040.AVI","2021:10:26 15:05:40+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"41",41,41,"Rev1_20211109/Aune001_19/IMG_0041.AVI","2021:10:26 15:06:04+02:00","16.833165","AVI","30.000300003",1296,720,"MJPG"
"42",42,42,"Rev1_20211109/Aune001_19/IMG_0042.AVI","2021:10:26 15:15:28+02:00","16.833165","AVI","30.000300003",1296,720,"MJPG"
"43",43,43,"Rev1_20211109/Aune001_19/IMG_0043.AVI","2021:10:26 15:19:38+02:00","10.533228","AVI","30.000300003",1296,720,"MJPG"
"44",44,44,"Rev1_20211109/Aune001_19/IMG_0044.AVI","2021:10:26 15:21:42+02:00","34.66632","AVI","30.000300003",1296,720,"MJPG"
"45",45,45,"Rev1_20211109/Aune001_19/IMG_0045.AVI","2021:10:26 15:21:56+02:00","10.533228","AVI","30.000300003",1296,720,"MJPG"
"46",46,46,"Rev1_20211109/Aune001_19/IMG_0046.AVI","2021:10:26 15:22:22+02:00","20.166465","AVI","30.000300003",1296,720,"MJPG"
"47",47,47,"Rev1_20211109/Aune001_19/IMG_0047.AVI","2021:10:26 15:23:04+02:00","33.632997","AVI","30.000300003",1296,720,"MJPG"
"48",48,48,"Rev1_20211109/Aune001_19/IMG_0048.AVI","2021:10:26 15:23:40+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"49",49,49,"Rev1_20211109/Aune001_19/IMG_0049.AVI","2021:10:26 15:27:44+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"50",50,50,"Rev1_20211109/Aune001_19/IMG_0050.AVI","2021:10:26 15:32:48+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"51",51,51,"Rev1_20211109/Aune001_19/IMG_0051.AVI","2021:10:26 15:33:16+02:00","18.866478","AVI","30.000300003",1296,720,"MJPG"
"52",52,52,"Rev1_20211109/Aune001_19/IMG_0052.AVI","2021:10:26 15:33:42+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"53",53,53,"Rev1_20211109/Aune001_19/IMG_0053.AVI","2021:10:26 15:34:22+02:00","16.733166","AVI","30.000300003",1296,720,"MJPG"
"54",54,54,"Rev1_20211109/Aune001_19/IMG_0054.AVI","2021:10:26 15:36:34+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"55",55,55,"Rev1_20211109/Aune001_19/IMG_0055.AVI","2021:10:26 15:41:34+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"56",56,56,"Rev1_20211109/Aune001_19/IMG_0056.AVI","2021:10:26 15:42:02+02:00","10.533228","AVI","30.000300003",1296,720,"MJPG"
"57",57,57,"Rev1_20211109/Aune001_19/IMG_0057.AVI","2021:10:26 15:44:16+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"58",58,58,"Rev1_20211109/Aune001_19/IMG_0058.AVI","2021:10:26 15:44:54+02:00","36.699633","AVI","30.000300003",1296,720,"MJPG"
"59",59,59,"Rev1_20211109/Aune001_19/IMG_0059.AVI","2021:10:26 15:45:20+02:00","24.166425","AVI","30.000300003",1296,720,"MJPG"
"60",60,60,"Rev1_20211109/Aune001_19/IMG_0060.AVI","2021:10:26 15:45:54+02:00","29.366373","AVI","30.000300003",1296,720,"MJPG"
"61",61,61,"Rev1_20211109/Aune001_19/IMG_0061.AVI","2021:10:26 15:46:26+02:00","17.866488","AVI","30.000300003",1296,720,"MJPG"
"62",62,62,"Rev1_20211109/Aune001_19/IMG_0062.AVI","2021:10:26 15:46:42+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"63",63,63,"Rev1_20211109/Aune001_19/IMG_0063.AVI","2021:10:26 15:47:36+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"64",64,64,"Rev1_20211109/Aune001_19/IMG_0064.AVI","2021:10:26 15:49:48+02:00","17.933154","AVI","30.000300003",1296,720,"MJPG"
"65",65,65,"Rev1_20211109/Aune001_19/IMG_0065.AVI","2021:10:26 15:51:02+02:00","32.566341","AVI","30.000300003",1296,720,"MJPG"
"66",66,66,"Rev1_20211109/Aune001_19/IMG_0066.AVI","2021:10:26 15:51:14+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"67",67,67,"Rev1_20211109/Aune001_19/IMG_0067.AVI","2021:10:26 15:51:28+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"68",68,68,"Rev1_20211109/Aune001_19/IMG_0068.AVI","2021:10:26 15:52:42+02:00","10.533228","AVI","30.000300003",1296,720,"MJPG"
"69",69,69,"Rev1_20211109/Aune001_19/IMG_0069.AVI","2021:10:26 15:53:04+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"70",70,70,"Rev1_20211109/Aune001_19/IMG_0070.AVI","2021:10:26 15:53:34+02:00","10.466562","AVI","30.000300003",1296,720,"MJPG"
"71",71,71,"Rev1_20211109/Aune001_19/IMG_0071.AVI","2021:10:26 15:58:24+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"72",72,72,"Rev1_20211109/Aune001_19/IMG_0072.AVI","2021:10:26 15:58:36+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"73",73,73,"Rev1_20211109/Aune001_19/IMG_0073.AVI","2021:10:26 15:59:40+02:00","10.533228","AVI","30.000300003",1296,720,"MJPG"
"74",74,74,"Rev1_20211109/Aune001_19/IMG_0074.AVI","2021:10:26 16:00:02+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"75",75,75,"Rev1_20211109/Aune001_19/IMG_0075.AVI","2021:10:26 16:00:48+02:00","28.33305","AVI","30.000300003",1296,720,"MJPG"
"76",76,76,"Rev1_20211109/Aune001_19/IMG_0076.AVI","2021:10:26 16:01:10+02:00","19.966467","AVI","30.000300003",1296,720,"MJPG"
"77",77,77,"Rev1_20211109/Aune001_19/IMG_0077.AVI","2021:10:26 16:01:22+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"78",78,78,"Rev1_20211109/Aune001_19/IMG_0078.AVI","2021:10:26 16:04:00+02:00","10.533228","AVI","30.000300003",1296,720,"MJPG"
"79",79,79,"Rev1_20211109/Aune001_19/IMG_0079.AVI","2021:10:26 16:07:28+02:00","10.533228","AVI","30.000300003",1296,720,"MJPG"
"80",80,80,"Rev1_20211109/Aune001_19/IMG_0080.AVI","2021:10:26 16:09:28+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"81",81,81,"Rev1_20211109/Aune001_19/IMG_0081.AVI","2021:10:26 16:12:28+02:00","10.533228","AVI","30.000300003",1296,720,"MJPG"
"82",82,82,"Rev1_20211109/Aune001_19/IMG_0082.AVI","2021:10:26 16:20:54+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"83",83,83,"Rev1_20211109/Aune001_19/IMG_0083.AVI","2021:10:26 16:21:18+02:00","19.933134","AVI","30.000300003",1296,720,"MJPG"
"84",84,84,"Rev1_20211109/Aune001_19/IMG_0084.AVI","2021:10:26 16:21:54+02:00","10.533228","AVI","30.000300003",1296,720,"MJPG"
"85",85,85,"Rev1_20211109/Aune001_19/IMG_0085.AVI","2021:10:26 16:27:52+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"86",86,86,"Rev1_20211109/Aune001_19/IMG_0086.AVI","2021:10:26 16:28:48+02:00","28.366383","AVI","30.000300003",1296,720,"MJPG"
"87",87,87,"Rev1_20211109/Aune001_19/IMG_0087.AVI","2021:10:26 16:29:16+02:00","19.966467","AVI","30.000300003",1296,720,"MJPG"
"88",88,88,"Rev1_20211109/Aune001_19/IMG_0088.AVI","2021:10:26 16:29:42+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"89",89,89,"Rev1_20211109/Aune001_19/IMG_0089.AVI","2021:10:26 16:30:16+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"90",90,90,"Rev1_20211109/Aune001_19/IMG_0090.AVI","2021:10:26 16:31:30+02:00","10.533228","AVI","30.000300003",1296,720,"MJPG"
"91",91,91,"Rev1_20211109/Aune001_19/IMG_0091.AVI","2021:10:26 16:31:56+02:00","10.466562","AVI","30.000300003",1296,720,"MJPG"
"92",92,92,"Rev1_20211109/Aune001_19/IMG_0092.AVI","2021:10:26 16:32:08+02:00","10.466562","AVI","30.000300003",1296,720,"MJPG"
"93",93,93,"Rev1_20211109/Aune001_19/IMG_0093.AVI","2021:10:26 16:33:04+02:00","10.533228","AVI","30.000300003",1296,720,"MJPG"
"94",94,94,"Rev1_20211109/Aune001_19/IMG_0094.AVI","2021:10:26 16:33:26+02:00","16.833165","AVI","30.000300003",1296,720,"MJPG"
"95",95,95,"Rev1_20211109/Aune001_19/IMG_0095.AVI","2021:10:26 16:35:32+02:00","126.065406","AVI","30.000300003",1296,720,"MJPG"
"96",96,96,"Rev1_20211109/Aune001_19/IMG_0096.AVI","2021:10:26 16:36:00+02:00","25.166415","AVI","30.000300003",1296,720,"MJPG"
"97",97,97,"Rev1_20211109/Aune001_19/IMG_0097.AVI","2021:10:26 16:36:26+02:00","24.166425","AVI","30.000300003",1296,720,"MJPG"
"98",98,98,"Rev1_20211109/Aune001_19/IMG_0098.AVI","2021:10:26 16:37:16+02:00","48.066186","AVI","30.000300003",1296,720,"MJPG"
"99",99,99,"Rev1_20211109/Aune001_19/IMG_0099.AVI","2021:10:26 16:37:36+02:00","10.499895","AVI","30.000300003",1296,720,"MJPG"
"100",100,100,"Rev1_20211109/Aune001_19/IMG_0100.AVI","2021:10:26 16:38:02+02:00","25.166415","AVI","30.000300003",1296,720,"MJPG"
"101",101,101,"Rev1_20211109/Aune001_19/IMG_0101.AVI","2021:10:26 16:38:24+02:00","17.866488","AVI","30.000300003",1296,720,"MJPG"
"102",102,102,"Rev1_20211109/Aune001_19/IMG_0102.AVI","2021:10:26 16:39:04+02:00","16.833165","AVI","30.000300003",1296,720,"MJPG"
"103",103,103,"Rev1_20211109/Aune001_19/IMG_0103.AVI","2021:10:26 16:39:38+02:00","18.933144","AVI","30.000300003",1296,720,"MJPG"
"104",104,104,"Rev1_20211109/Aune001_19/IMG_0104.AVI","2021:10:26 16:40:28+02:00","17.866488","AVI","30.000300003",1296,720,"MJPG"
"105",105,105,"Rev1_20211109/Aune001_19/IMG_0105.AVI","2021:10:26 16:40:46+02:00","10.533228","AVI","30.000300003",1296,720,"MJPG"
"106",106,106,"Rev1_20211109/Aune001_19/IMG_0106.AVI","2021:10:26 16:42:08+02:00","31.366353","AVI","30.000300003",1296,720,"MJPG"
"107",107,107,"Rev1_20211109/Aune001_19/IMG_0107.AVI","2021:10:26 16:42:30+02:00","17.866488","AVI","30.000300003",1296,720,"MJPG"
