"","X","deployment","rev","num_files","first_file_date","last_file_date","num_days","Setup.date","Revision.date","Functioning.days","Timestamp_Issues","favourite","Comments","Plant_ID"
"41",204,"Aune010_63","Rev15",169,"25/11/22 2:06","6/12/22 23:48",11.904375,"25/11/22","7/12/22",12,NA,"Ha grabado 555 videos pero hay nœmeros en la secuencia de los nombres que no est‡n y les da nombre hasta el 605",NA,"Aune010"
"42",205,"Aune011_64","Rev15",16,"25/11/22 13:42","7/12/22 12:03",11.9312963,"25/11/22","7/12/22",12,NA,"",NA,"Aune011"
"43",206,"Aune011_65","Rev15",181,"25/11/22 13:39","7/12/22 12:00",11.93118056,"25/11/22","7/12/22",12,NA,"",NA,"Aune011"
"44",207,"Aune012_66","Rev15",58,"25/11/22 18:54","7/12/22 12:05",11.71576389,"25/11/22","7/12/22",12,NA,"",NA,"Aune012"
"45",208,"Aune012_67","Rev15",164,"2/4/22 14:40","14/4/22 13:03",11.93287037,"25/11/22","7/12/22",12,NA,"",NA,"Aune012"
"46",209,"Aune013_36","Rev15",31,"25/11/22 15:05","7/12/22 13:14",11.92298611,"25/11/22","7/12/22",12,NA,"",NA,"Aune013"
"47",210,"Aune002_34","Rev16",4,"7/12/22 13:15","16/12/22 14:25",9.048425926,"7/12/22","16/12/22",9,NA,"",NA,"Aune002"
"48",211,"Aune002_57","Rev16",45,"7/12/22 13:18","16/12/22 14:30",9.049675926,"7/12/22","16/12/22",9,NA,"",NA,"Aune002"
"49",212,"Aune006_68","Rev16",29,"1/1/20 0:02","10/1/20 1:10",9.047326389,"7/12/22","16/12/22",9,TRUE,"",NA,"Aune006"
"50",213,"Aune006_69","Rev16",48,"7/12/22 12:57","16/12/22 14:06",9.04775463,"7/12/22","16/12/22",9,NA,"",NA,"Aune006"
"51",214,"Aune008_56","Rev16",130,"7/12/22 12:54","16/12/22 14:11",9.053194444,"7/12/22","16/12/22",9,NA,"",NA,"Aune008"
"52",215,"Aune009_54","Rev16",40,"7/12/22 12:52","16/12/22 14:11",9.055231481,"7/12/22","16/12/22",9,NA,"",NA,"Aune009"
"53",216,"Aune010_62","Rev16",3,"7/12/22 11:47","16/12/22 13:10",9.057731481,"7/12/22","16/12/22",9,NA,"",NA,"Aune010"
