Deployment_ID;Revision_ID;Videos ;First video;Last video;Days;Videos/days;Setup date;Revision date;Days in field;Checked;Battery;Timestamp_Issues;Animal triggered;file_path;species;favourite;Comments
Rulm020_20;rev_02;531;3/9/21;9/9/21;5.97;88.91;3/9/21;15/9/21;12;;;;;;;;
Rulm020_20;rev_03;464;15/9/21;17/9/21;2.13;218.35;15/9/21;30/9/21;15;;0;;;;;;
Rulm021_21;rev_01;98;19/8/21;26/8/21;6.73;14.56;19/8/21;3/9/21;15;;;;;;;;
Rulm021_21;rev_02;17;31/12/19;2/1/20;2.04;8.34;3/9/21;15/9/21;12;;;;;;;;
Rulm021_21;rev_03;113;15/9/21;30/9/21;15.13;7.47;15/9/21;30/9/21;15;;100;T;;;;;
Rulm021_21;rev_04;4;30/9/21;3/10/21;3.08;1.30;30/9/21;14/10/21;14;;100;T;;;;;
Rulm022_22;rev_01;644;19/8/21;26/8/21;6.91;93.21;19/8/21;3/9/21;15;;;;;;;;
Rulm023_22;rev_03;499;15/9/21;23/9/21;8.07;61.83;15/9/21;30/9/21;15;;100;;;;;;Cámara 22 reubicada en Rulm023
Rulm023_22;rev_04;298;30/9/21;13/10/21;13.12;22.71;30/9/21;14/10/21;14;;88;;;;;;
Rulm023_23;rev_01;473;19/8/21;3/9/21;14.89;31.76;19/8/21;3/9/21;15;;;;;;;;
Rulm023_23;rev_02;519;3/9/21;15/9/21;12.03;43.16;3/9/21;15/9/21;12;;;;;;;;
Rulm023_23;rev_03;565;15/9/21;28/9/21;13.08;43.20;15/9/21;30/9/21;15;;98;;;;;;
Rulm023_23;rev_04;536;30/9/21;11/10/21;10.86;49.34;30/9/21;14/10/21;14;;74;;;;;;
Rulm024_24;rev_01;533;19/8/21;21/8/21;2.01;265.58;19/8/21;3/9/21;15;;;;;;;;
Rulm024_24;rev_02;537;3/9/21;5/9/21;2.12;253.87;3/9/21;15/9/21;12;;;;;;;;
Rulm024_24;rev_03;84;15/9/21;30/9/21;15.04;5.59;15/9/21;30/9/21;15;;100;;;;;;
Rulm024_24;rev_04;57;30/9/21;14/10/21;13.82;4.12;30/9/21;14/10/21;14;;99;;;;;;
Rulm025_25;rev_01;549;19/8/21;29/8/21;9.95;55.16;19/8/21;3/9/21;15;;;;;;;;
Rulm025_25;rev_02;379;3/9/21;15/9/21;12.03;31.50;3/9/21;15/9/21;12;;;;;;;;
Rulm025_25;rev_03;272;15/9/21;30/9/21;15.06;18.07;15/9/21;30/9/21;15;;100;;;;;;
Rulm025_25;rev_04;80;30/9/21;14/10/21;13.83;5.79;30/9/21;14/10/21;14;;100;;;;;;
Rulm026_26;rev_01;33;19/8/21;2/9/21;14.13;2.34;19/8/21;3/9/21;15;;;;;;;;
Rulm026_26;rev_03;39;15/9/21;30/9/21;15.06;2.59;15/9/21;30/9/21;15;;100;;;;;;
Rulm026_26;rev_04;43;30/9/21;14/10/21;13.80;3.12;30/9/21;14/10/21;14;;100;;;;;;
Rulm027_27;rev_01;618;19/8/21;29/8/21;10.11;61.14;19/8/21;3/9/21;15;;;;;;;;
Rulm027_27;rev_02;602;3/9/21;11/9/21;8.11;74.24;3/9/21;15/9/21;12;;;;;;;;
Rulm027_27;rev_03;207;15/9/21;26/9/21;10.53;19.65;15/9/21;30/9/21;15;;99;T;;;;;
Sasp001_02;rev_01;480;21/10/21;24/10/21;3.15;152.40;21/10/21;3/11/21;13;;74;;;;;;
Sasp001_02;rev_02;79;3/11/21;18/11/21;15.35;5.15;3/11/21;18/11/21;15;;69;;;;;;
Sasp001_02;rev_03;12;18/11/21;28/11/21;10.22;1.17;18/11/21;1/12/21;13;;58;;;;;;
Sasp001_02;rev_04;89;4/12/21;12/12/21;8.23;10.82;1/12/21;15/12/21;14;;52;;;;;;
Sasp001_02;rev_05;137;17/12/21;12/1/22;25.68;5.33;15/12/21;12/1/22;28;;50;;;;;;
Sasp001_02;rev_06;22;12/1/22;26/1/22;14.03;1.57;12/1/22;26/1/22;14;;49;;;;;;
Sasp001_02;rev_07;34;26/1/22;9/2/22;14.00;2.43;26/1/22;9/2/22;14;;42;;;;;;
Sasp001_02;rev_08;15;9/2/22;22/2/22;12.96;1.16;9/2/22;22/2/22;13;;51;;;;;;
Sasp001_02;rev_09;33;22/2/22;17/3/22;23.05;1.43;22/2/22;17/3/22;23;;44;;;;;;
Sasp001_02;rev_10;6;17/3/22;29/3/22;12.06;0.50;17/3/22;29/3/22;12;;51;;;;;;
Sasp002_03;rev_01;5;26/10/21;1/11/21;6.09;0.82;21/10/21;3/11/21;13;;58;;;;;;
Sasp002_03;rev_02;73;3/11/21;15/11/21;11.87;6.15;3/11/21;18/11/21;15;;50;;;;;;
Sasp002_03;rev_03;18;19/11/21;28/11/21;8.84;2.04;18/11/21;1/12/21;13;;38;;;;;;
Sasp002_03;rev_04;140;2/12/21;15/12/21;12.82;10.92;1/12/21;15/12/21;14;;100;;;;;;
Sasp002_03;rev_05;33;15/12/21;12/1/22;27.96;1.18;15/12/21;12/1/22;28;;100;;;;;;
