deployment;rev;num_files;first_file_date;last_file_date;num_days;Setup date;Revision date;Functioning days;Timestamp_Issues;favourite;Comments;;;
Sasp010_12;Rev19;131;27/10/22 13:29;3/11/22 11:48;6.971944444;27/10/22;3/11/22;7;;;;;;
Sasp011_15;Rev19;361;27/10/22 13:58;3/11/22 14:39;7.06974537;27/10/22;3/11/22;7;;;;;;
Sasp012_17;Rev19;298;27/10/22 13:46;27/10/22 18:23;0.192384259;27/10/22;3/11/22;7;TRUE;;;;;
Sasp013_18;Rev19;176;27/10/22 13:47;27/10/22 16:31;0.113912037;27/10/22;3/11/22;7;;;;;;
Sasp014_20;Rev19;240;27/10/22 13:46;3/11/22 14:55;7.089467593;27/10/22;3/11/22;7;;;;;;
Sasp001_21;Rev20;7;4/11/22 10:03;9/11/22 15:36;5.231898148;3/11/22;9/11/22;6;;;;;;
Sasp003_13;Rev20;453;3/11/22 11:48;6/11/22 17:40;3.244490741;3/11/22;9/11/22;6;;;;;;
Sasp004_14;Rev20;10;5/11/22 14:54;9/11/22 15:40;4.031782407;3/11/22;9/11/22;6;;;;;;
Sasp007_11;Rev20;168;3/11/22 14:37;9/11/22 13:48;5.966157407;3/11/22;9/11/22;6;;;;;;
Sasp008_07;Rev20;412;3/11/22 11:49;9/11/22 12:59;6.048634259;3/11/22;9/11/22;6;;;;;;
Sasp009_10;Rev20;70;3/11/22 12:06;8/11/22 18:03;5.248287037;3/11/22;9/11/22;6;;;;;;
Sasp010_12;Rev20;517;3/11/22 11:49;9/11/22 15:41;6.161111111;3/11/22;9/11/22;6;;;;;;
Sasp011_15;Rev20;371;3/11/22 14:51;9/11/22 13:51;5.958680556;3/11/22;9/11/22;6;;;;;;
Sasp012_17;Rev20;1;9/11/22 13:51;9/11/22 13:51;0;3/11/22;9/11/22;6;;;;;;
Sasp013_18;Rev20;350;4/11/22 14:39;6/11/22 0:05;1.392708333;3/11/22;9/11/22;6;;;;;;
Sasp014_20;Rev20;124;4/11/22 12:58;9/11/22 13:50;5.035763889;3/11/22;9/11/22;6;;;;;;
Sasp001_21;Rev21;4;15/11/22 13:59;15/11/22 15:29;0.062939815;9/11/22;15/11/22;6;;;;;;
Sasp003_13;Rev21;485;9/11/22 17:02;13/11/22 12:04;3.792731481;9/11/22;15/11/22;6;TRUE;;;;;
Sasp007_11;Rev21;144;9/11/22 13:50;15/11/22 15:18;6.061296296;9/11/22;15/11/22;6;;;;;;
Sasp008_07;Rev21;364;9/11/22 17:16;15/11/22 12:59;5.821018519;9/11/22;15/11/22;6;;;;;;
Sasp009_10;Rev21;349;9/11/22 15:59;15/11/22 15:52;5.995347222;9/11/22;15/11/22;6;;;;;;
Sasp010_12;Rev21;433;9/11/22 15:46;11/11/22 12:17;1.855023148;9/11/22;15/11/22;6;;;;;;
Sasp011_15;Rev21;19;9/11/22 15:41;15/11/22 15:32;5.993611111;9/11/22;15/11/22;6;TRUE;;;;;
Sasp012_17;Rev21;438;9/11/22 13:52;15/11/22 15:03;6.049236111;9/11/22;15/11/22;6;;;;;;
sasp013_18;Rev21;358;9/11/22 14:15;10/11/22 14:12;0.99837963;9/11/22;15/11/22;6;;;;;;
Sasp014_20;Rev21;278;9/11/22 13:53;15/11/22 15:23;6.062615741;9/11/22;15/11/22;6;;;;;;
Sasp001_21;Rev22;55;15/11/22 15:31;25/11/22 11:10;9.819212963;15/11/22;25/11/22;10;;;;;;
Sasp003_13;Rev22;304;15/11/22 17:00;17/11/22 17:21;2.014907407;15/11/22;25/11/22;10;;;;;;
Sasp004_14;Rev22;48;15/11/22 15:33;25/11/22 11:05;9.813912037;15/11/22;25/11/22;10;;;;;;
Sasp007_11;Rev22;210;15/11/22 15:19;25/11/22 11:13;9.829166667;15/11/22;25/11/22;10;;;;;;
Sasp008_07;Rev22;488;15/11/22 17:00;21/11/22 18:51;6.077013889;15/11/22;25/11/22;10;;;;;;
Sasp009_10;Rev22;422;15/11/22 15:53;25/11/22 11:20;9.810208333;15/11/22;25/11/22;10;;;;;;
Sasp010_12;Rev22;540;15/11/22 15:36;21/11/22 16:59;6.057939815;15/11/22;25/11/22;10;;;;;;
Sasp011_15;Rev22;411;1/1/20 0:01;3/1/20 0:10;2.005856481;15/11/22;25/11/22;10;;;;;;
Sasp012_17;Rev22;339;15/11/22 15:25;17/11/22 14:31;1.962847222;15/11/22;25/11/22;10;;;;;;
Sasp013_18;Rev22;255;15/11/22 15:22;17/11/22 11:26;1.836319444;15/11/22;25/11/22;10;;;;;;
Sasp014_20;Rev22;516;15/11/22 15:24;19/11/22 14:59;3.982384259;15/11/22;25/11/22;10;;;;;;
Sasp001_21;Rev23;1;25/11/22 11:11;25/11/22 11:11;0;25/11/22;7/12/22;12;;;;;;
Sasp004_14;Rev23;20;25/11/22 11:06;30/11/22 13:10;5.086273148;25/11/22;7/12/22;12;;;;;;
Sasp008_07;Rev23;260;25/11/22 10:58;30/11/22 12:19;5.056087963;25/11/22;7/12/22;12;;;;;;
Sasp010_12;Rev23;405;25/11/22 11:05;30/11/22 13:05;5.083680556;25/11/22;7/12/22;12;;;;;;
Sasp007_11;Rev24;197;25/11/22 11:14;7/12/22 11:31;12.01157407;7/12/22;16/12/22;9;;;;;;
Sasp009_10;Rev24;466;25/11/22 11:21;4/12/22 16:28;9.213287037;7/12/22;16/12/22;9;;;;;;
Sasp011_15;Rev24;291;10/1/20 22:32;17/1/20 23:13;7.02849537;7/12/22;16/12/22;9;;;;;;
Sasp012_17;Rev24;480;25/11/22 11:20;6/12/22 15:16;11.16384259;7/12/22;16/12/22;9;;;;;;
Sasp013_18;Rev24;332;25/11/22 11:33;29/11/22 13:23;4.076759259;7/12/22;16/12/22;9;;;;;;
Sasp007_11;Rev25;207;9/12/22 13:28;16/12/22 11:52;6.933287037;16/12/22;21/12/22;5;;;;;;
Sasp009_10;Rev25;502;7/12/22 12:10;11/12/22 17:51;4.236921296;16/12/22;21/12/22;5;;;;;;
Sasp011_15;Rev25;422;22/1/20 20:15;26/1/20 22:42;4.10224537;16/12/22;21/12/22;5;;;;;;
Sasp012_17;Rev25;440;8/12/22 11:32;10/12/22 16:25;2.203773148;16/12/22;21/12/22;5;;;;;;
Sasp013_18;Rev25;264;7/12/22 11:40;16/12/22 12:03;9.016342593;16/12/22;21/12/22;5;;;;;;
Sasp007_11;Rev26;103;16/12/22 14:11;21/12/22 11:51;4.902847222;21/12/22;12/1/23;22;;;;;;
Sasp009_10;Rev26;360;16/12/22 12:50;21/12/22 12:43;4.994953704;21/12/22;12/1/23;22;;;;;;
Sasp011_15;Rev26;330;31/12/22 11:10;3/1/23 14:23;3.134097222;21/12/22;12/1/23;22;;;;;;
Sasp013_18;Rev26;127;16/12/22 12:06;21/12/22 12:04;4.999097222;21/12/22;12/1/23;22;;;;;;
