deployment;rev;num_files;first_file_date;last_file_date;num_days;Setup date;Revision date;Functioning days;Timestamp_Issues;favourite;Comments
Rper003_16;Rev05;6;23/9/22 0:01;27/9/22 22:49;4.950347222;22/9/22;28/9/22;6;;;
Rper003_16;Rev06;1;4/10/22 0:31;4/10/22 0:31;0;28/9/22;5/10/22;7;;;
Rper003_16;Rev07;6;5/10/22 19:07;20/10/22 10:18;14.63256944;5/10/22;20/10/22;15;;;
Rper003_16;Rev08;4;20/10/22 10:20;27/10/22 12:20;7.083773148;20/10/22;27/10/22;7;;;
Rper003_16;Rev09;2;27/10/22 13:22;3/11/22 11:39;6.970324074;27/10/22;3/11/22;7;;;
Rper003_16;Rev10;2;3/11/22 11:40;9/11/22 15:33;6.161712963;3/11/22;9/11/22;7;;;
Rper003_16;Rev11;2;9/11/22 15:35;15/11/22 15:27;5.994282407;9/11/22;15/11/22;7;;;
