deployment;rev;num_files;first_file_date;last_file_date;num_days;Setup date;Revision date;Functioning days;Checked;Battery;Timestamp_Issues;favourite;Comments
Aspa017_36;Rev11;562;24/8/22 9:56;25/8/22 13:14;1.137615741;24/8/22;31/8/22;7;;;;;
Aspa018_37;Rev11;549;24/8/22 9:58;31/8/22 9:47;6.992430556;24/8/22;31/8/22;7;;;;;
Aspa019_38;Rev11;545;24/8/22 9:59;25/8/22 12:40;1.111481481;24/8/22;31/8/22;7;;;;;
Aspa020_39;Rev11;334;24/8/22 10:00;24/8/22 14:28;0.186574074;24/8/22;31/8/22;7;;;;;
Aspa021_52;Rev11;529;24/8/22 11:07;25/8/22 14:43;1.150393519;24/8/22;31/8/22;7;;;;;
Aspa022_53;Rev11;322;24/8/22 13:00;31/8/22 11:05;6.920439815;24/8/22;31/8/22;7;;;;;
Aspa023_54;Rev11;553;24/8/22 11:30;25/8/22 16:27;1.20599537;24/8/22;31/8/22;7;;;;;
Aspa002_33;Rev12;445;31/8/22 11:03;8/9/22 12:08;8.045509259;31/8/22;8/9/22;8;;;TRUE;;
Aspa011_28;Rev12;574;31/12/17 23:00;4/9/22 4:09;1707.172778;31/8/22;8/9/22;8;;;;;
Aspa012_29;Rev12;45;31/8/22 14:11;8/9/22 12:41;7.937280093;31/8/22;8/9/22;8;;;;;
Aspa013_30;Rev12;552;31/8/22 11:36;1/9/22 13:43;1.088333333;31/8/22;8/9/22;8;;;;;
Aspa014_31;Rev12;17;31/8/22 11:34;8/9/22 12:46;8.05;31/8/22;8/9/22;8;;;;;
Aspa015_32;Rev12;551;31/8/22 11:38;31/8/22 18:32;0.287384259;31/8/22;8/9/22;8;;;;;
Aspa016_35;Rev12;64;31/8/22 9:47;8/9/22 10:22;8.024421296;31/8/22;8/9/22;8;;;;;
Aspa017_36;Rev12;1327;31/8/22 9:48;3/9/22 14:30;3.195555556;31/8/22;8/9/22;8;;;;;
Aspa018_37;Rev12;595;31/8/22 9:49;6/9/22 13:35;6.157037037;31/8/22;8/9/22;8;;;;;
Aspa019_38;Rev12;589;31/8/22 9:56;3/9/22 14:34;3.193032407;31/8/22;8/9/22;8;;;;;
Aspa020_39;Rev12;388;31/8/22 9:52;31/8/22 15:08;0.219861111;31/8/22;8/9/22;8;;;;;
Aspa021_52;Rev12;495;31/8/22 11:07;1/9/22 12:15;1.047083333;31/8/22;8/9/22;8;;;;;
Aspa022_53;Rev12;564;31/8/22 12:24;8/9/22 12:14;7.992662037;31/8/22;8/9/22;8;;;;;
Aspa023_54;Rev12;552;31/8/22 11:14;2/9/22 14:06;2.119837963;31/8/22;8/9/22;8;;;;;
Aspa002_33;Rev13;118;8/9/22 12:10;14/9/22 12:16;6.004375;8/9/22;14/9/22;6;;;TRUE;;
Aspa011_28;Rev13;343;9/9/22 12:39;15/9/22 11:54;5.968773148;8/9/22;14/9/22;6;;;;;
Aspa012_29;Rev13;47;8/9/22 12:41;14/9/22 11:56;5.968796296;8/9/22;14/9/22;6;;;;;
Aspa013_30;Rev13;584;8/9/22 12:45;9/9/22 16:15;1.145462963;8/9/22;14/9/22;6;;;;;
Aspa014_31;Rev13;14;8/9/22 12:47;14/9/22 12:00;5.966782407;8/9/22;14/9/22;6;;;;;
Aspa015_32;Rev13;565;8/9/22 12:55;9/9/22 14:37;1.070671296;8/9/22;14/9/22;6;;;;;
Aspa016_35;Rev13;147;8/9/22 10:23;14/9/22 9:23;5.958402778;8/9/22;14/9/22;6;;;;;
Aspa017_36;Rev13;575;8/9/22 10:26;10/9/22 12:15;2.075671296;8/9/22;14/9/22;6;;;;;
Aspa018_37;Rev13;590;8/9/22 10:27;11/9/22 13:20;3.120300926;8/9/22;14/9/22;6;;;;;
Aspa019_38;Rev13;595;8/9/22 10:33;13/9/22 16:05;5.230555556;8/9/22;14/9/22;6;;;;;
Aspa020_61;Rev13;764;8/9/22 22:52;14/9/22 21:23;5.938217593;8/9/22;14/9/22;6;;;TRUE;;
Aspa021_52;Rev13;504;8/9/22 12:14;9/9/22 12:06;0.993888889;8/9/22;14/9/22;6;;;;;
Aspa022_53;Rev13;156;8/9/22 12:16;14/9/22 12:20;6.002800926;8/9/22;14/9/22;6;;;;;
Aspa023_54;Rev13;567;8/9/22 12:13;10/9/22 12:52;2.027615741;8/9/22;14/9/22;6;;;;;
Aspa002_33;Rev14;297;14/9/22 12:18;22/9/22 12:49;8.021967593;14/9/22;22/9/22;8;;;;;
Aspa011_28;Rev14;601;15/9/22 11:56;18/9/22 14:30;3.107476852;14/9/22;22/9/22;8;;;;;
Aspa012_29;Rev14;66;14/9/22 11:58;22/9/22 14:36;8.109560185;14/9/22;22/9/22;8;;;;;
Aspa013_30;Rev14;486;14/9/22 12:00;14/9/22 17:23;0.223981481;14/9/22;22/9/22;8;;;;;
Aspa014_31;Rev14;73;14/9/22 12:58;22/9/22 14:37;8.068819444;14/9/22;22/9/22;8;;;;;
Aspa015_32;Rev14;592;14/9/22 12:05;16/9/22 16:57;2.202939815;14/9/22;22/9/22;8;;;;;
Aspa016_35;Rev14;142;14/9/22 9:24;22/9/22 9:41;8.011875;14/9/22;22/9/22;8;;;;;
Aspa017_36;Rev14;589;14/9/22 9:24;15/9/22 16:04;1.277291667;14/9/22;22/9/22;8;;;;;
Aspa018_37;Rev14;599;31/12/17 23:00;5/1/18 5:31;4.271689815;14/9/22;22/9/22;8;;;TRUE;;
Aspa019_38;Rev14;581;14/9/22 9:29;17/9/22 15:45;3.261273148;14/9/22;22/9/22;8;;;;;
Aspa020_39;Rev14;459;14/9/22 10:57;14/9/22 21:25;0.43599537;14/9/22;22/9/22;8;;;;;
Aspa023_54;Rev14;2640;14/9/22 12:20;17/9/22 14:24;3.086296296;14/9/22;22/9/22;8;;;;;
Aspa011_28;Rev15;229;22/9/22 14:39;28/9/22 13:42;5.960208333;22/9/22;28/9/22;6;;;;;
Aspa012_29;Rev15;70;22/9/22 15:44;28/9/22 13:42;5.915555556;22/9/22;28/9/22;6;;;;;
Aspa013_30;Rev15;588;22/9/22 14:40;25/9/22 15:25;3.031574074;22/9/22;28/9/22;6;;;;;
Aspa014_31;Rev15;29;22/9/22 17:09;28/9/22 13:45;5.858032407;22/9/22;28/9/22;6;;;;;
Aspa015_32;Rev15;583;22/9/22 14:43;26/9/22 15:32;4.033865741;22/9/22;28/9/22;6;;;;;
Aspa016_35;Rev15;118;22/9/22 9:42;28/9/22 13:05;6.140601852;22/9/22;28/9/22;6;;;;;
Aspa017_36;Rev15;554;22/9/22 9:43;24/9/22 12:57;2.134456019;22/9/22;28/9/22;6;;;;;
Aspa018_37;Rev15;592;8/1/18 23:17;15/1/18 2:39;6.139953704;22/9/22;28/9/22;6;;;TRUE;;
Aspa019_38;Rev15;601;22/9/22 9:46;27/9/22 16:19;5.272893519;22/9/22;28/9/22;6;;;;;
Aspa020_39;Rev15;418;22/9/22 9:39;22/9/22 15:39;0.249768519;22/9/22;28/9/22;6;;;;;
Aspa011_28;Rev16;327;28/9/22 13:43;30/9/22 16:28;2.114652778;28/9/22;5/10/22;7;;;;;
Aspa012_29;Rev16;83;28/9/22 13:43;6/10/22 8:43;7.791631944;28/9/22;5/10/22;7;;;;;
Aspa013_30;Rev16;523;28/9/22 13:46;29/9/22 15:46;1.083657407;28/9/22;5/10/22;7;;;;;
Aspa014_31;Rev16;65;28/9/22 17:02;6/10/22 8:48;7.656898148;28/9/22;5/10/22;7;;;;;
Aspa015_32;Rev16;635;28/9/22 13:49;3/10/22 14:29;5.027685185;28/9/22;5/10/22;7;;;;;
Aspa016_35;Rev16;76;28/9/22 13:05;5/10/22 18:01;7.205046296;28/9/22;5/10/22;7;;;;;
Aspa017_36;Rev16;386;28/9/22 13:07;28/9/22 16:21;0.134259259;28/9/22;5/10/22;7;;;;;
Aspa018_37;Rev16;508;28/9/22 13:08;5/10/22 18:04;7.205648148;28/9/22;5/10/22;7;;;;;
Aspa019_38;Rev16;576;28/9/22 13:09;29/9/22 15:55;1.115138889;28/9/22;5/10/22;7;;;;;
Aspa020_61;Rev16;539;28/9/22 13:05;29/9/22 15:13;1.088587963;28/9/22;5/10/22;7;;;;;
Aspa011_28;Rev17;571;1/1/18 3:44;9/1/18 4:14;8.02087963;5/10/22;20/10/22;15;;;;;
Aspa012_29;Rev17;84;6/10/22 8:44;20/10/22 11:01;14.09516204;5/10/22;20/10/22;15;;;;;
Aspa013_30;Rev17;177;6/10/22 8:49;20/10/22 11:06;14.09527778;5/10/22;20/10/22;15;;;;;
Aspa014_31;Rev17;74;6/10/22 14:00;20/10/22 11:05;13.8781713;5/10/22;20/10/22;15;;;;;
Aspa015_32;Rev17;628;6/10/22 8:54;11/10/22 13:53;5.207488426;5/10/22;20/10/22;15;;;;;
Aspa016_35;Rev17;91;5/10/22 18:02;20/10/22 9:31;14.64532407;5/10/22;20/10/22;15;;;;;
Aspa017_36;Rev17;583;5/10/22 22:37;12/10/22 15:14;6.692291667;5/10/22;20/10/22;15;;;;;
Aspa018_37;Rev17;547;5/10/22 18:05;20/10/22 9:36;14.64648148;5/10/22;20/10/22;15;;;;;
Aspa019_38;Rev17;431;31/12/17 23:00;15/1/18 14:28;14.64424769;5/10/22;20/10/22;15;;;;;
Aspa020_39;Rev17;565;6/10/22 12:21;10/10/22 16:05;4.155393519;5/10/22;20/10/22;15;;;;;
