deployment;rev;num_files;first_file_date;last_file_date;num_days;Setup date;Revision date;Functioning days;Timestamp_Issues;favourite;Comments;
Rulm043_23;Rev08;582;2/8/22 12:46;7/8/22 13:30;5.030439815;2/8/22;11/8/22;9;;;;
Rulm044_24;Rev08;632;2/8/22 12:28;7/8/22 13:11;5.030092593;2/8/22;11/8/22;9;;;;
Rulm045_19;Rev08;117;2/8/22 0:15;10/8/22 23:55;8.986365741;2/8/22;11/8/22;9;TRUE;;Estaba configurada con 12 horas de antelaci—n (puesta en am cuando era pm). Rectificar horas archivos;
Rulm046_20;Rev08;498;2/8/22 12:22;3/8/22 16:05;1.154953704;2/8/22;11/8/22;9;;;;
Rulm047_21;Rev08;25;3/8/22 10:50;11/8/22 11:59;8.047939815;2/8/22;11/8/22;9;;;;
Rulm001_01;Rev09;76;11/8/22 9:42;18/8/22 10:58;7.05337963;11/8/22;18/8/22;7;;;;
Rulm002_02;Rev09;189;11/8/22 21:37;18/8/22 23:02;7.059606481;11/8/22;18/8/22;7;TRUE;;;
Rulm003_03;Rev09;471;11/8/22 9:57;18/8/22 11:04;7.046435185;11/8/22;18/8/22;7;;;;
Rulm004_04;Rev09;487;11/8/22 14:21;18/8/22 11:09;6.866087963;11/8/22;18/8/22;7;;;;
Rulm005_05;Rev09;84;11/8/22 9:46;18/8/22 8:32;6.949166667;11/8/22;18/8/22;7;;;;
Rulm007_07;Rev09;9;11/8/22 10:00;18/8/22 11:17;7.053078704;11/8/22;18/8/22;7;;;;
Rulm008_08;Rev09;432;11/8/22 11:07;15/8/22 11:17;4.006851852;11/8/22;18/8/22;7;;;;
Rulm009_09;Rev09;478;11/8/22 11:00;15/8/22 13:41;4.111412037;11/8/22;18/8/22;7;;;;
Rulm011_11;Rev09;454;11/8/22 11:13;15/8/22 17:42;4.270625;11/8/22;18/8/22;7;;;;
Rulm012_12;Rev09;371;11/8/22 11:15;18/8/22 10:25;6.965416667;11/8/22;18/8/22;7;;;;
Rulm013_13;Rev09;113;31/12/19 23:01;18/8/22 9:40;960.4018519;11/8/22;18/8/22;7;;;;
Rulm014_14;Rev09;516;11/8/22 9:12;16/8/22 14:15;5.209953704;11/8/22;18/8/22;7;;;;
Rulm015_15;Rev09;41;11/8/22 13:22;15/8/22 13:54;4.021898148;11/8/22;18/8/22;7;;;;
Rulm016_16;Rev09;192;11/8/22 10:30;18/8/22 10:35;7.00375;11/8/22;18/8/22;7;;;;
Rulm017_17;Rev09;370;11/8/22 13:32;18/8/22 10:42;6.881828704;11/8/22;18/8/22;7;;;;
Rulm018_18;Rev09;325;11/8/22 11:59;17/8/22 17:35;6.232824074;11/8/22;18/8/22;7;;;;
Rulm022_22;Rev09;85;11/8/22 12:09;18/8/22 12:17;7.005138889;11/8/22;18/8/22;7;;;;
Rulm026_26;Rev09;376;11/8/22 12:49;17/8/22 3:30;5.611574074;11/8/22;18/8/22;7;;;;
Rulm027_27;Rev09;230;11/8/22 12:43;18/8/22 12:45;7.001550926;11/8/22;18/8/22;7;;;;
Rulm032_06;Rev09;79;11/8/22 9:42;18/8/22 11:14;7.063703704;11/8/22;18/8/22;7;;;;
Rulm036_10;Rev09;189;11/8/22 11:05;18/8/22 9:58;6.953287037;11/8/22;18/8/22;7;;;;
Rulm043_23;Rev09;135;11/8/22 12:17;18/8/22 12:26;7.006550926;11/8/22;18/8/22;7;;;;
Rulm044_24;Rev09;192;11/8/22 12:20;18/8/22 12:35;7.010555556;11/8/22;18/8/22;7;;;;
Rulm045_19;Rev09;105;10/8/22 11:57;17/8/22 11:58;7.00087963;11/8/22;18/8/22;7;TRUE;;;
Rulm046_20;Rev09;539;11/8/22 12:07;17/8/22 19:30;6.307638889;11/8/22;18/8/22;7;;;;
Rulm047_21;Rev09;80;11/8/22 12:00;18/8/22 12:02;7.001273148;11/8/22;18/8/22;7;;;;
Rulm048_25;Rev09;491;11/8/22 12:31;14/8/22 18:36;3.253171296;11/8/22;18/8/22;7;;;;
Rulm001_01;Rev10;19;18/8/22 20:16;24/8/22 9:29;5.550972222;18/8/22;24/8/22;6;;;;
Rulm002_02;Rev10;65;18/8/22 23:03;24/8/22 21:34;5.938009259;18/8/22;24/8/22;6;TRUE;;;
Rulm003_03;Rev10;195;18/8/22 11:05;24/8/22 9:34;5.936712963;18/8/22;24/8/22;6;;;;
Rulm004_04;Rev10;21;18/8/22 11:10;23/8/22 18:59;5.325949074;18/8/22;24/8/22;6;;;;
Rulm005_05;Rev10;14;18/8/22 11:13;24/8/22 9:41;5.935949074;18/8/22;24/8/22;6;;;;
Rulm007_07;Rev10;51;18/8/22 11:18;24/8/22 9:48;5.937731481;18/8/22;24/8/22;6;;;;
Rulm008_08;Rev10;35;18/8/22 10:04;24/8/22 10:18;6.009791667;18/8/22;24/8/22;6;;;;
Rulm009_09;Rev10;235;18/8/22 9:52;18/8/22 19:35;0.404259259;18/8/22;24/8/22;6;;;;
Rulm011_11;Rev10;387;18/8/22 10:19;20/8/22 17:14;2.288472222;18/8/22;24/8/22;6;;;;
Rulm012_12;Rev10;67;18/8/22 10:28;24/8/22 10:27;5.999189815;18/8/22;24/8/22;6;;;;
Rulm013_13;Rev10;11;18/8/22 9:45;24/8/22 10:34;6.033611111;18/8/22;24/8/22;6;;;;
Rulm014_14;Rev10;232;18/8/22 9:38;24/8/22 10:35;6.039652778;18/8/22;24/8/22;6;;;;
Rulm015_15;Rev10;122;31/12/19 23:02;6/1/20 23:06;6.003310185;18/8/22;24/8/22;6;TRUE;;;
Rulm016_16;Rev10;39;18/8/22 10:36;24/8/22 10:46;6.007106481;18/8/22;24/8/22;6;;;;
Rulm017_17;Rev10;40;18/8/22 10:45;23/8/22 22:51;5.504074074;18/8/22;24/8/22;6;;;;
Rulm018_18;Rev10;136;18/8/22 12:02;24/8/22 11:39;5.983726852;18/8/22;24/8/22;6;;;;
Rulm022_22;Rev10;527;18/8/22 12:18;22/8/22 1:05;3.532847222;18/8/22;24/8/22;6;;;;
Rulm026_26;Rev10;301;18/8/22 12:45;24/8/22 11:32;5.949537037;18/8/22;24/8/22;6;;;;
Rulm027_27;Rev10;367;18/8/22 15:38;24/8/22 11:29;5.827708333;18/8/22;24/8/22;6;;;;
Rulm032_06;Rev10;12;18/8/22 11:15;24/8/22 9:42;5.935625;18/8/22;24/8/22;6;;;;
Rulm036_10;Rev10;372;18/8/22 10:05;21/8/22 18:30;3.350648148;18/8/22;24/8/22;6;;;;
Rulm043_23;Rev10;9;18/8/22 12:33;24/8/22 11:19;5.948611111;18/8/22;24/8/22;6;;;;
Rulm044_24;Rev10;585;18/8/22 14:39;24/8/22 11:21;5.862453704;18/8/22;24/8/22;6;;;;
Rulm045_19;Rev10;247;18/8/22 12:00;24/8/22 11:36;5.983587963;18/8/22;24/8/22;6;;;;
Rulm046_20;Rev10;186;18/8/22 12:16;24/8/22 11:55;5.985740741;18/8/22;24/8/22;6;;;;
Rulm047_21;Rev10;33;18/8/22 12:17;24/8/22 11:39;5.973726852;18/8/22;24/8/22;6;;;;
Rulm048_25;Rev10;38;31/12/19 23:00;20/8/22 14:24;962.6001389;18/8/22;24/8/22;6;TRUE;;;
Rulm001_01;Rev11;49;24/8/22 9:30;31/8/22 9:24;6.996064815;24/8/22;31/8/22;7;;;;
Rulm002_02;Rev11;42;24/8/22 9:35;31/8/22 9:27;6.994444444;24/8/22;31/8/22;7;;;;
Rulm003_03;Rev11;330;24/8/22 9:36;31/8/22 9:26;6.992939815;24/8/22;31/8/22;7;;;;
Rulm004_04;Rev11;14;24/8/22 9:39;31/8/22 9:32;6.995185185;24/8/22;31/8/22;7;;;;
Rulm005_05;Rev11;9;24/8/22 9:42;31/8/22 9:36;6.996226852;24/8/22;31/8/22;7;;;;
Rulm007_07;Rev11;15;24/8/22 9:49;31/8/22 9:39;6.993009259;24/8/22;31/8/22;7;;;;
Rulm008_08;Rev11;34;24/8/22 10:19;31/8/22 10:10;6.993217593;24/8/22;31/8/22;7;;;;
Rulm009_09;Rev11;17;24/8/22 10:17;30/8/22 11:42;6.059189815;24/8/22;31/8/22;7;;;;
Rulm011_11;Rev11;413;24/8/22 10:26;25/8/22 16:51;1.267013889;24/8/22;31/8/22;7;;;;
Rulm012_12;Rev11;109;24/8/22 10:28;31/8/22 10:25;6.997847222;24/8/22;31/8/22;7;;;;
Rulm013_13;Rev11;9;24/8/22 10:35;31/8/22 10:30;6.996851852;24/8/22;31/8/22;7;;;;
Rulm014_14;Rev11;230;24/8/22 10:36;31/8/22 10:32;6.996550926;24/8/22;31/8/22;7;;;;
Rulm015_15;Rev11;65;6/1/20 23:07;13/1/20 23:03;6.996990741;24/8/22;31/8/22;7;TRUE;;;
Rulm016_16;Rev11;115;24/8/22 10:48;31/8/22 10:42;6.996342593;24/8/22;31/8/22;7;;;;
Rulm017_17;Rev11;101;24/8/22 10:51;31/8/22 10:47;6.997361111;24/8/22;31/8/22;7;;;;
Rulm018_18;Rev11;133;24/8/22 11:40;31/8/22 11:30;6.992962963;24/8/22;31/8/22;7;;;;
Rulm019_34;Rev11;36;24/8/22 11:51;31/8/22 11:31;6.986296296;;;;;;;
Rulm022_22;Rev11;274;24/8/22 11:58;31/8/22 11:40;6.987291667;24/8/22;31/8/22;7;;;;
Rulm026_26;Rev11;228;24/8/22 11:33;31/8/22 11:23;6.992430556;24/8/22;31/8/22;7;;;;
Rulm027_27;Rev11;60;24/8/22 11:31;31/8/22 11:21;6.993333333;24/8/22;31/8/22;7;;;;
Rulm032_06;Rev11;16;24/8/22 9:45;31/8/22 9:35;6.993356481;24/8/22;31/8/22;7;;;;
Rulm036_10;Rev11;459;24/8/22 10:23;25/8/22 16:52;1.269791667;24/8/22;31/8/22;7;;;;
Rulm043_23;Rev11;40;24/8/22 11:20;31/8/22 11:14;6.995509259;24/8/22;31/8/22;7;;;;
Rulm044_24;Rev11;226;24/8/22 11:23;31/8/22 11:17;6.995277778;24/8/22;31/8/22;7;;;;
Rulm045_19;Rev11;163;24/8/22 11:37;31/8/22 11:26;6.992638889;24/8/22;31/8/22;7;;;;
Rulm046_20;Rev11;203;24/8/22 11:56;31/8/22 11:38;6.987314815;24/8/22;31/8/22;7;;;;
Rulm047_21;Rev11;32;24/8/22 11:40;31/8/22 11:30;6.992569444;24/8/22;31/8/22;7;;;;
Rulm048_25;Rev11;22;31/12/19 23:00;7/1/20 22:02;6.959560185;24/8/22;31/8/22;7;TRUE;;;
Rulm001_01;Rev12;44;31/8/22 9:25;8/9/22 9:35;8.006689815;31/8/22;8/9/22;8;;;;
Rulm002_02;Rev12;291;31/8/22 9:28;8/9/22 9:38;8.006597222;31/8/22;8/9/22;8;;;;
Rulm003_03;Rev12;365;31/8/22 9:30;8/9/22 9:40;8.007083333;31/8/22;8/9/22;8;;;;
Rulm004_04;Rev12;320;31/8/22 9:34;8/9/22 9:46;8.008148148;31/8/22;8/9/22;8;;;;
Rulm005_05;Rev12;28;31/8/22 9:38;8/9/22 9:48;8.006898148;31/8/22;8/9/22;8;;;;
Rulm007_07;Rev12;25;31/8/22 9:40;8/9/22 9:55;8.010601852;31/8/22;8/9/22;8;;;;
Rulm008_08;Rev12;114;31/8/22 10:11;8/9/22 10:56;8.031782407;31/8/22;8/9/22;8;;;;
Rulm009_09;Rev12;4;31/8/22 10:10;8/9/22 10:52;8.028819444;31/8/22;8/9/22;8;;;;
Rulm011_11;Rev12;501;31/8/22 10:24;5/9/22 15:47;5.224583333;31/8/22;8/9/22;8;;;;
Rulm012_12;Rev12;87;31/8/22 10:26;8/9/22 11:13;8.032407407;31/8/22;8/9/22;8;;;;
Rulm013_13;Rev12;65;31/8/22 10:32;8/9/22 11:23;8.035439815;31/8/22;8/9/22;8;;;;
Rulm014_14;Rev12;81;31/8/22 10:33;8/9/22 11:25;8.036041667;31/8/22;8/9/22;8;;;;
Rulm015_15;Rev12;489;31/8/22 10:42;3/9/22 15:22;3.194097222;31/8/22;8/9/22;8;;;;
Rulm016_16;Rev12;366;31/8/22 10:44;6/9/22 4:17;5.73150463;31/8/22;8/9/22;8;;;;
Rulm017_17;Rev12;96;31/8/22 10:49;8/9/22 10:07;7.971018519;31/8/22;8/9/22;8;;;;
Rulm018_18;Rev12;197;31/8/22 11:30;8/9/22 12:30;8.04162037;31/8/22;8/9/22;8;;;;
Rulm022_22;Rev12;437;31/8/22 11:40;8/9/22 12:54;8.05125;31/8/22;8/9/22;8;;;;
Rulm026_26;Rev12;581;31/8/22 12:17;6/9/22 8:55;5.859722222;31/8/22;8/9/22;8;;;;
Rulm027_27;Rev12;123;31/8/22 11:22;8/9/22 13:17;8.079675926;31/8/22;8/9/22;8;;;;
Rulm032_06;Rev12;186;31/8/22 9:37;8/9/22 9:51;8.009861111;31/8/22;8/9/22;8;;;;
Rulm036_10;Rev12;39;31/8/22 10:21;8/9/22 11:01;8.027638889;31/8/22;8/9/22;8;;;;
Rulm043_23;Rev12;36;31/8/22 11:15;8/9/22 13:05;8.07650463;31/8/22;8/9/22;8;;;;
Rulm044_24;Rev12;284;31/8/22 11:18;4/9/22 13:06;4.075462963;31/8/22;8/9/22;8;;;;
Rulm045_19;Rev12;85;31/8/22 11:27;8/9/22 12:27;8.041689815;31/8/22;8/9/22;8;;;;
Rulm046_20;Rev12;421;31/8/22 11:39;3/9/22 14:56;3.137037037;31/8/22;8/9/22;8;;;;
Rulm047_21;Rev12;281;31/8/22 13:08;9/9/22 12:36;8.977962963;31/8/22;8/9/22;8;;;;
Rulm048_25;Rev12;501;7/1/20 22:50;10/1/20 1:07;2.094861111;31/8/22;8/9/22;8;TRUE;;;
Rulm001_01;Rev13;17;8/9/22 9:36;14/9/22 8:40;5.960810185;8/9/22;14/9/22;6;;;;
Rulm002_02;Rev13;27;8/9/22 9:39;14/9/22 8:43;5.961296296;8/9/22;14/9/22;6;;;;
Rulm003_03;Rev13;28;8/9/22 9:41;14/9/22 8:44;5.960393519;8/9/22;14/9/22;6;;;;
Rulm004_04;Rev13;58;8/9/22 9:47;14/9/22 8:50;5.960347222;8/9/22;14/9/22;6;;;;
Rulm005_05;Rev13;11;8/9/22 9:50;13/9/22 13:33;5.154814815;8/9/22;14/9/22;6;;;;
Rulm007_07;Rev13;20;8/9/22 9:57;14/9/22 8:55;5.957314815;8/9/22;14/9/22;6;;;;
Rulm008_08;Rev13;244;8/9/22 10:58;14/9/22 10:18;5.972175926;8/9/22;14/9/22;6;;;;
Rulm009_09;Rev13;7;8/9/22 10:53;14/9/22 10:14;5.973032407;8/9/22;14/9/22;6;;;;
Rulm012_12;Rev13;36;8/9/22 11:14;14/9/22 10:24;5.965300926;8/9/22;14/9/22;6;;;;
Rulm013_13;Rev13;365;9/9/22 8:25;14/9/22 10:30;5.086851852;8/9/22;14/9/22;6;;;;
Rulm014_14;Rev13;75;8/9/22 11:25;14/9/22 10:32;5.962916667;8/9/22;14/9/22;6;;;;
Rulm015_15;Rev13;73;8/9/22 12:26;14/9/22 10:53;5.934814815;8/9/22;14/9/22;6;;;;
Rulm016_16;Rev13;475;9/9/22 0:26;12/9/22 2:10;3.072013889;8/9/22;14/9/22;6;TRUE;;;
Rulm017_17;Rev13;33;8/9/22 11:56;14/9/22 10:59;5.960717593;8/9/22;14/9/22;6;;;;
Rulm018_18;Rev13;372;8/9/22 12:35;14/9/22 11:56;5.973148148;8/9/22;14/9/22;6;;;;
Rulm019_34;Rev13;2;12/9/22 7:37;14/9/22 11:59;2.182013889;8/9/22;14/9/22;6;;;;
Rulm022_22;Rev13;80;8/9/22 12:55;14/9/22 12:05;5.965185185;8/9/22;14/9/22;6;;;;
Rulm026_26;Rev13;421;8/9/22 13:25;14/9/22 11:48;5.932569444;8/9/22;14/9/22;6;;;;
