RootFolder,File,RelativePath,DateTime,DeleteFlag,Behaviour,Sex,Sp1,Count1,Sp2,Count2,Sp3,Count3,Juvenile,Favourite,Obs,Behaviour2,
indet,IMG_0020.MP4,SUMHAL_YR1\Asparagus\Rev3_20220112\Aspa007_34, 2023-04-18 12:29:29,false,visits (using plant),,saxicola rubicola,0,,0,,0,false,true,,,
indet,IMG_0026.MP4,SUMHAL_YR1\Asparagus\Rev3_20220112\Aspa007_34, 2023-04-18 12:29:29,false,,,bos taurus,0,,0,,0,false,false,,,
indet,IMG_0029.MP4,SUMHAL_YR1\Asparagus\Rev3_20220112\Aspa007_34, 2023-04-18 12:29:29,false,,,bos taurus,0,,0,,0,false,false,,,
indet,07220162.AVI,SUMHAL_YR1\Corema_2\Review1_20210803\A03, 2023-04-18 12:29:29,false,probably eating,,alectoris rufa,0,,0,,0,false,true,,,
indet,IMG_0043.MP4,SUMHAL_YR1\Corema_2\Review1_20210803\A07, 2023-04-18 12:29:29,false,eating,,saxicola rubicola,0,,0,,0,false,true,saxicola?,,
indet,IMG_0047.MP4,SUMHAL_YR1\Corema_2\Review2_20210803\A07, 2023-04-18 12:29:29,false,searching for food,,saxicola rubicola,0,,0,,0,false,true,,,
indet,IMG_0009.MP4,SUMHAL_YR1\Corema_2\Review2_20210803\A10, 2023-04-18 12:29:29,false,eating,,turdus merula,0,,0,,0,false,true,,,
indet,IMG_0006.MP4,SUMHAL_YR1\Corema_2\Review2_20210803\A16, 2023-04-18 12:29:29,false,,,?,0,,0,,0,false,false,,,
indet,IMG_0512.MP4,SUMHAL_YR1\Corema_2\Review3_20210910\A02, 2023-04-18 12:29:29,false,visits (using plant),,?,0,,0,,0,false,false,,,
indet,09190026.MP4,SUMHAL_YR1\Corema_2\Review4_20210927\A17, 2023-04-18 12:29:29,false,,,-,0,,0,,0,false,false,,,
indet,10030011.AVI,SUMHAL_YR1\Corema_2\Review5_20211008\A20, 2023-04-18 12:29:29,false,,,-,0,,0,,0,false,false,,,
indet,10030002.MP4,SUMHAL_YR1\Corema_2\Review5_20211008\A24, 2023-04-18 12:29:29,false,,,-,0,,0,,0,false,false,,,
indet,IMG_0012.MP4,SUMHAL_YR1\Corema_2\Review6_20211021\A06, 2023-04-18 12:29:29,false,,,-,0,,0,,0,false,false,,,
indet,IMG_0037.AVI,SUMHAL_YR1\Joxy\Rev1_20220113\Joxy001_21, 2023-04-18 12:29:29,false,probably eating,,cervus elaphus,0,,0,,0,false,true,,,
